office,district,candidate,party
FOR PROSECUTING ATTORNEY,,SETH GASKINS,REP
FOR PROSECUTING ATTORNEY,,TANYA HANDLEY,DEM
FOR PROSECUTING ATTORNEY,,DONNA TAYLOR,REP
FOR PROSECUTING ATTORNEY,,KEITH RANDOLPH,DEM
FOR PROSECUTING ATTORNEY,,ANTHONY CILIBERTI,DEM
FOR PROSECUTING ATTORNEY,,JONATHAN DUKE JEWELL,DEM
FOR PROSECUTING ATTORNEY,,BROCK MOUNTS,REP
FOR PROSECUTING ATTORNEY,,DAVID A WANDLING,DEM
FOR PROSECUTING ATTORNEY,,JOE SPRADLING,IND
FOR PROSECUTING ATTORNEY,,JAY SHAY,REP
FOR PROSECUTING ATTORNEY,,PAT LEFEBURE,REP
FOR PROSECUTING ATTORNEY,,REBECCA L MILLER,REP
FOR PROSECUTING ATTORNEY,,CHARLIE B JOHNSON III,DEM
FOR PROSECUTING ATTORNEY,,KRISTIN R COOK,REP
FOR PROSECUTING ATTORNEY,,BROOKE KNIGHT FITZGERALD,REP
FOR PROSECUTING ATTORNEY,,SEAN CORKY HAMMERS,DEM
FOR PROSECUTING ATTORNEY,,APRIL D MALLOW,REP
FOR PROSECUTING ATTORNEY,,JONIE E NELSON,DEM
FOR PROSECUTING ATTORNEY,,MATTHEW L HARVEY,REP
FOR PROSECUTING ATTORNEY,,JOHN G OURS,REP
FOR PROSECUTING ATTORNEY,,THOMAS B HOXIE,REP
FOR PROSECUTING ATTORNEY,,JOSEPH E BARKI,DEM
FOR PROSECUTING ATTORNEY,,CHARLES T CHUCK MILLER,REP
FOR PROSECUTING ATTORNEY,,JONATHAN C SWEENEY,DEM
FOR PROSECUTING ATTORNEY,,TIMOTHY E HAUGHT,DEM
FOR PROSECUTING ATTORNEY,,STEVEN E DRAGISICH,REP
FOR PROSECUTING ATTORNEY,,JAMES W DAVIS,DEM
FOR PROSECUTING ATTORNEY,,SAMUEL C ROGERS II,DEM
FOR PROSECUTING ATTORNEY,,RACHEL ROMANO,DEM
FOR SHERIFF,,TOM HOWARD,DEM
FOR SHERIFF,,JEFF BARLOW,REP
FOR SHERIFF,,JOHN P RIGGS,REP
FOR SHERIFF,,CHARLES MANKINS,DEM
FOR SHERIFF,,PERRY PALMER,DEM
FOR SHERIFF,,JEFF JONES,REP
FOR SHERIFF,,LEE CARTER,DEM
FOR SHERIFF,,NOEL BRALEY,REP
FOR SHERIFF,,ROSS MELLINGER,DEM
FOR SHERIFF,,BOBBY EGGLETON,REP
FOR SHERIFF,,TERRY A AUSTIN,REP
FOR SHERIFF,,ROBERT H BELTNER,DEM
FOR SHERIFF,,BRIAN M WEIGLE,REP
FOR SHERIFF,,VIRGIL D MILLER,REP
FOR SHERIFF,,DAVE GOSA,REP
FOR SHERIFF,,DAVID PARKS,DEM
FOR SHERIFF,,GARY BUTCH LINVILLE,REP
FOR SHERIFF,,OLLIE DUANE HUNTING,DEM
FOR SHERIFF,,COREY J MILLER,REP
FOR SHERIFF,,RONNIE SPENCER,DEM
FOR SHERIFF,,ROBERT E ROB FRUTH,IND
FOR SHERIFF,,CHAD P BARKER,DEM
FOR SHERIFF,,MIKE FRIDLEY,DEM
FOR SHERIFF,,CHARLES CHUCK MILLER,REP
FOR SHERIFF,,JOE SMITH,DEM
FOR SHERIFF,,SAMMONS ERNEST,REP
FOR SHERIFF,,PAUL PD CLEMENS,DEM
FOR SHERIFF,,CHRIS T TRENT,REP
FOR SHERIFF,,PAUL MOE PRITT,REP
FOR SHERIFF,,ARNOLD D TICHNELL,DEM
FOR SHERIFF,,STEVE STEPHENS,REP
FOR SHERIFF,,NATHAN J SIONS,REP
FOR SHERIFF,,JUSTIN FARIS,REP
FOR SHERIFF,,JERRY JC WHEELER,DEM
FOR SHERIFF,,CLINTON E BORING,REP
FOR SHERIFF,,CHARLES ZERKLE,DEM
FOR SHERIFF,,CHAD BOWERS,DEM
FOR SHERIFF,,TOM HANSEN,REP
FOR SHERIFF,,MIKE CHAPMAN,DEM
FOR SHERIFF,,JOHN KING,IND
FOR SHERIFF,,STEVE COX,IND
FOR SHERIFF,,MTN GREGORY LANCE,MTN
FOR SHERIFF,,BRIAN W OURS,REP
FOR SHERIFF,,BRETT CARPENTER,REP
FOR SHERIFF,,MIKE ERVIN,DEM
FOR SHERIFF,,RICHARD BEATTY,REP
FOR SHERIFF,,KEVIN L HECK,DEM
FOR SHERIFF,,SEAN CROSIER,REP
FOR SHERIFF,,MICHAEL RUTHERFORD,DEM
FOR SHERIFF,,RODNEY A JAMISON,REP
FOR SHERIFF,,WILLIAM F NUNLEY,DEM
FOR SHERIFF,,MIKE KOONTZ,DEM
FOR SHERIFF,,SCOTT GITTINGS,REP
FOR SHERIFF,,TERRANCE SNODGRASS,REP
FOR SHERIFF,,ROBERT MATHENY,DEM
FOR ASSESSOR,,TIFFANY HOFFMAN,DEM
FOR ASSESSOR,,KATRINA TAYLOR,REP
FOR ASSESSOR,,JOHNNY A PRITT,REP
FOR ASSESSOR,,RICK MILLER,DEM
FOR ASSESSOR,,VICKIE L GORRELL,DEM
FOR ASSESSOR,,MARK MUSICK,DEM
FOR ASSESSOR,,SARAH F MARTIN,REP
FOR ASSESSOR,,CAROLINE L SPARKS,DEM
FOR ASSESSOR,,BRIAN THOMAS,DEM
FOR ASSESSOR,,GARY WARNER,REP
FOR ASSESSOR,,CHRISTA R KINSEY,REP
FOR ASSESSOR,,GIGI COLLETT,DEM
FOR ASSESSOR,,LISA J JACKSON,REP
FOR ASSESSOR,,DUSTIN DUSTY ZICKEFOOSE,REP
FOR ASSESSOR,,JOHN L BREEN,REP
FOR ASSESSOR,,JEREME BROWNING,DEM
FOR ASSESSOR,,CHAD MCCORMICK,
FOR ASSESSOR,,MIKE HILL,
FOR ASSESSOR,,AIMEE DUNCAN,REP
FOR ASSESSOR,,RON HICKMAN,DEM
FOR ASSESSOR,,SCOTTY D COOK,DEM
FOR ASSESSOR,,HARVEY YOUNG,DEM
FOR ASSESSOR,,RAMONA MAHON,DEM
FOR ASSESSOR,,GLEN D HOUN DOG ADKINS,DEM
FOR ASSESSOR,,CONNIE R ERVIN,REP
FOR ASSESSOR,,DAVID C NOHE,REP
FOR ASSESSOR,,NORMA J WAGONER,DEM
FOR ASSESSOR,,GREGORY S GREG VANDALL,DEM
FOR ASSESSOR,,DAVID E SPONAUGLE,REP
FOR ASSESSOR,,IRV JOHNSON,REP
FOR ASSESSOR,,DONALD L HEDRICK,REP
FOR ASSESSOR,,SANDIE HUFFMAN SMITH,DEM
FOR ASSESSOR,,ANGELA ANGIE BANKS,DEM
FOR ASSESSOR,,MTN DAVID TABB,MTN
FOR ASSESSOR,,RALPH G LAYTON,REP
FOR ASSESSOR,,DERICK A SPENCER,REP
FOR ASSESSOR,,DEB DADISMAN,DEM
FOR ASSESSOR,,THOMAS A OUGHTON,DEM
FOR ASSESSOR,,SALLIE ROBINSON,DEM
FOR ASSESSOR,,ERNIE DENNISON,DEM
FOR ASSESSOR,,SCOTT LEMLEY,DEM
FOR ASSESSOR,,JOSEPH ALONGI,DEM
FOR ASSESSOR,,ARLENE MOSSOR,REP
FOR ASSESSOR,,ROCKY ROMANO,DEM
FOR SURVEYOR,,MICHAEL AUSTEN,IND
FOR SURVEYOR,,WRITE IN,
FOR SURVEYOR,,JOSHUA MOODY,DEM
FOR SURVEYOR,,BOB ANDRIOTTO,REP
FOR SURVEYOR,,DAVID O HOLZ,DEM
FOR SURVEYOR,,JASON WOODS,REP
FOR SURVEYOR,,TIMOTHY R BRAKE,REP
FOR SURVEYOR,,CHAD N PROUDFOOT,DEM
FOR SURVEYOR,,ROY D HAUGHT,REP
FOR SURVEYOR,,DALE P BENNETT,REP
FOR SURVEYOR,,JONATHAN BLAINE,
FOR SURVEYOR,,JOHNNY R MCCLURE,DEM
FOR SURVEYOR,,JACK R BOODA,DEM
FOR SURVEYOR,,JIMMY LEE WEBB,DEM
FOR SURVEYOR,,KEN MORAN,DEM
FOR SURVEYOR,,CHARLES F HUGHES JR,REP
FOR SURVEYOR,,RICHARD MORELAND,DEM
FOR SURVEYOR,,JEFFERY CHAMBERS,DEM
FOR SURVEYOR,,DAN WELLINGS,REP
FOR SURVEYOR,,ROGER E HARRIS,REP
FOR SURVEYOR,,MARK C GEARY,REP
FOR SURVEYOR,,JOHN L GREEN,DEM
FOR SURVEYOR,,BILL MOSSOR,REP
BUS LEVY BETHLEHEM,,FOR THE LEVIES,
BUS LEVY BETHLEHEM,,AGAINST THE LEVIES,
BUS LEVY WHEELING,,FOR THE LEVIES,
BUS LEVY WHEELING,,AGAINST THE LEVIES,
NONPARTISAN BOARD OF EDUCATION,,BRENT STEWART,
BOE LEVY,,FOR THE LEVIES,
BOE LEVY,,AGAINST THE LEVIES,
EXCESS LEVY,,FOR THE LEVY,
EXCESS LEVY,,AGAINST THE LEVY,
MOUNDSVILLE,,JUDY HUNT,
MOUNDSVILLE,,CAROLE BLAKE WOOD,
MOUNDSVILLE,,EUGENE L SAUNDERS SR,
MOUNDSVILLE,,RANDY CHAMBERLAIN,
MOUNDSVILLE,,DENNY WALLACE,
MOUNDSVILLE,,PHILIP KEVIN REMKE,
MOUNDSVILLE,,BRIANNA HICKMAN,
MOUNDSVILLE,,DAVID SEUM,
BENWOOD LEVY,,FOR THE LEVY,
BENWOOD LEVY,,AGAINST THE LEVY,
MCMECHEN LEVY,,FOR THE LEVIES,
MCMECHEN LEVY,,AGAINST THE LEVIES,
WHEELING LEVY,,FOR THE LEVIES,
WHEELING LEVY,,AGAINST THE LEVIES,
CIRCUIT CLERK,51st,KEITH STOUT,DEM
CIRCUIT CLERK,40th,WILLIAM MULLINS,REP
CIRCUIT CLERK,54th,CELESTE WALDRON RIDGWAY,REP
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,GENE RANDALL RHOADES,REP
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,WD KELLEY,DEM
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,GORDON D JONES,
HUNTINGTON,,SCOTT MARSHALL CASERTA,REP
HUNTINGTON,,STEVE WILLIAMS,DEM
HUNTINGTON,,BOB BAILEY,
HUNTINGTON,,JOSHUA M GARNES,
HUNTINGTON,,DURON JACKSON,
HUNTINGTON,,DAVID HARRINGTON,
HUNTINGTON,,TYLER BOWEN,REP
HUNTINGTON,,JOYCE CLARK,DEM
FIRE LEVY,,FOR,
FIRE LEVY,,AGAINST,
FIRE LEVY,,FOR THE LEVY,
FIRE LEVY,,AGAINST THE LEVY,
LIBRARY LEVY,,FOR,
LIBRARY LEVY,,AGAINST,
LIBRARY LEVY,,FOR THE LEVIES,
LIBRARY LEVY,,AGAINST THE LEVIES,
WAYNE COUNTY HEALTH DEPARTMENT,,FOR,
WAYNE COUNTY HEALTH DEPARTMENT,,AGAINST,
AMBULANCE LEVY,,FOR THE LEVY,
AMBULANCE LEVY,,AGAINST THE LEVY,
AMBULANCE LEVY,,FOR,
AMBULANCE LEVY,,AGAINST,
LIQUOR CURFEW,,YES,
LIQUOR CURFEW,,NO,
FOR MAYOR BUFFALO,,CONRAD CAIN,
FOR MAYOR BUFFALO,,BRETT A WALKER,
FOR MAYOR BUFFALO,,DAVE MELTON,
FOR RECORDER BUFFALO,,ANDREW COULSON,
FOR CITY COUNCIL BUFFALO,,TERRY G PARSONS,
FOR CITY COUNCIL BUFFALO,,SHANE JIVIDEN,
FOR CITY COUNCIL BUFFALO,,ROGER L JIVIDEN,
FOR CITY COUNCIL BUFFALO,,DAVE MCCARTY,
FOR CITY COUNCIL BUFFALO,,JILL DUNLAP,
FOR CITY COUNCIL BUFFALO,,CHRISTINA JUMPER,
FOR CITY COUNCIL BUFFALO,,LEAH MARTIN HIGGINBOTHAM,
FOR CITY COUNCIL BUFFALO,,DOUG PIERSON,
FOR CITY COUNCIL BUFFALO,,CHAD THAXTON,
FOR CITY COUNCIL BUFFALO,,CHARLIE CAIN,
FOR CITY COUNCIL BUFFALO,,BARBARA JOHNS REED,
FOR CITY COUNCIL BUFFALO,,BILLY GRADY,
EMERGENCY SQUAD AND FLEMINGTON AREA AMBULANCE SERVICE,,YES,
EMERGENCY SQUAD AND FLEMINGTON AREA AMBULANCE SERVICE,,NO,
HEALTH DEPARTMENT LEVY,,YES,
HEALTH DEPARTMENT LEVY,,NO,
PUBLIC LIBRARY LEVY,,YES,
PUBLIC LIBRARY LEVY,,NO,
SENIOR CITIZENS LEVY,,YES,
SENIOR CITIZENS LEVY,,NO,
FAMILY COURT JUDGE,16th,JENNIFER G GRINDO,
FAMILY COURT JUDGE,16th,E SCOTT STANTON,
FAMILY COURT JUDGE,16th,HARLEY EUGENE STOLLINGS,
FIRE AND AMBULANCE EMERGENCY LEVY,,FOR THE LEVIES,
FIRE AND AMBULANCE EMERGENCY LEVY,,AGAINST THE LEVIES,
NON,,DAVID BUSH,
NON,,BRUCE HEATER,
NON,,MILLIE METZGAR,
MAGISTRATE,,STEPHANIE FRENCH,
MAGISTRATE,,BRIAN MOORE,
MAGISTRATE,,PAUL BLUME,
MAGISTRATE,,JOHN STEPHEN MAYS,
FOR COUNTY CLERK,,MICHELLE HOLLY,DEM
FOR COUNTY CLERK,,J BRENEMEN,REP
FOR COUNTY CLERK,,LARRY YOGI CROAFF,DEM
FOR COUNTY CLERK,,RUSSELL DESKINS,REP
FOR COUNTY CLERK,,NO CANDIDATE NOMINATED,LBN
FOR COUNTY CLERK,,LORENA CATEE SLATER,REP
FOR COUNTY CLERK,,KIMBERLY KIMMY BARBETTA,DEM
FOR COUNTY COMMISSIONER DIST C,,ROBERT K BOB TEBAY,REP
FOR COUNTY COMMISSIONER DIST C,,DAVID DAVE FOGGIN,
FOR MAYOR PARKERSBURG,,TOM JOYCE,REP
FOR MAYOR PARKERSBURG,,SHERRY DUGAN,DEM
FOR MAYOR VIENNA,,RANDALL RAPP,
FOR MAYOR VIENNA,,MIKE SMITH,
FOR MAYOR TOWN OF NORTH HILLS,,DALE BAUMGARTNER,
FOR RECORDER VIENNA,,MELISSA ELAM,
FOR RECORDER VIENNA,,CATHY SMITH,
FOR RECORDER NORTH HILLS,,FRED NEWBERRY,
FOR COUNCIL AT LARGE CITY OF VIENNA,,JIM LEACH,
FOR COUNCIL AT LARGE CITY OF VIENNA,,MIKE ELAM,
FOR COUNCIL AT LARGE CITY OF VIENNA,,KIM WILLIAMS,
FOR COUNCIL AT LARGE CITY OF VIENNA,,ROGER D BIBBEE,
FOR COUNCIL AT LARGE CITY OF VIENNA,,TOM AZINGER,
FOR COUNCIL AT LARGE CITY OF VIENNA,,KELLY SASSI CRAFT,
FOR COUNCIL AT LARGE CITY OF VIENNA,,ALICE GOODWIN,
FOR COUNCIL AT LARGE CITY OF VIENNA,,BRUCE ROGERS,
FOR COUNCIL AT LARGE CITY OF VIENNA,,HENRY SASYN,
FOR COUNCIL AT LARGE CITY OF VIENNA,,HARRY HELMICK,
FOR COUNCIL AT LARGE CITY OF VIENNA,,LAWRENCE WILSON,
FOR CITY COUNCIL PARKERSBURG DISTRICT 1,,JESSICA COTTRILLE,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 1,,DAVE MCCRADY,DEM
FOR CITY COUNCIL PARKERSBURG DISTRICT 2,,SHARON A KUHL,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 3,,ROBERT MERCER,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 4,,WENDY RAWLINS TUCK,DEM
FOR CITY COUNCIL PARKERSBURG DISTRICT 4,,ERIC BARBER,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 5,,JR CARPENTER,DEM
FOR CITY COUNCIL PARKERSBURG DISTRICT 5,,DELL O POMEROY,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 5,,LBN BRETT LEE SULLINS,LBN
FOR CITY COUNCIL PARKERSBURG DISTRICT 6,,MIKE REYNOLDS,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 7,,CHRIS REXROAD,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 7,,THOMAS RAFFERTY,DEM
FOR CITY COUNCIL PARKERSBURG DISTRICT 8,,ZACHARY T STANLEY,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 9,,AUSTIN RICHARDS,REP
FOR CITY COUNCIL PARKERSBURG DISTRICT 9,,JEFF FOX,DEM
FOR CITY COUNCIL NORTH HILLS,,DON STEMPLE,
FOR CITY COUNCIL NORTH HILLS,,REGINA SMITH,
FOR CITY COUNCIL NORTH HILLS,,RACHEL HENSLEY,
FOR CITY COUNCIL NORTH HILLS,,CHENEY ENGLISH,
FOR CITY COUNCIL NORTH HILLS,,CHRIS NAHLEY,
LIBRARY EXCESS LEVY,,FOR THE LEVY,
LIBRARY EXCESS LEVY,,AGAINST THE LEVY,
SENIOR NUTRITION PROGRAM LEVY,,FOR THE LEVY,
SENIOR NUTRITION PROGRAM LEVY,,AGAINST THE LEVY,
PATCH PROGRAM LEVY,,FOR THE LEVY,
PATCH PROGRAM LEVY,,AGAINST THE LEVY,
FOR MAYOR HUNTINGTON,,SCOTT MARSHALL CASERTA,REP
FOR MAYOR HUNTINGTON,,STEVE WILLIAMS,DEM
FOR COUNCIL AT LARGE HUNTINGTON,,JOSHUA M GARNES,REP
FOR COUNCIL AT LARGE HUNTINGTON,,BOB BAILEY,DEM
FOR COUNCIL AT LARGE HUNTINGTON,,DAVID HARRINGTON,REP
FOR COUNCIL AT LARGE HUNTINGTON,,DURON JACKSON,DEM
FOR CITY COUNCIL DISTRICT 2,,TODD SWEENEY,REP
FOR CITY COUNCIL DISTRICT 2,,STEPHANIE HECK,DEM
FOR CITY COUNCIL DISTRICT 3,,TIA FIX RUMBAUGH,DEM
FOR CITY COUNCIL DISTRICT 3,,CHARLES SHAW,IND
FOR CITY COUNCIL DISTRICT 4,,JEFF WARD,REP
FOR CITY COUNCIL DISTRICT 4,,JENNIFER WHEELER,DEM
FOR CITY COUNCIL DISTRICT 5,,TERESA JOHNSON,DEM
FOR CITY COUNCIL DISTRICT 6,,WILLIAM A DAWSON JR,REP
FOR CITY COUNCIL DISTRICT 6,,HOLLY SMITH MOUNT,DEM
FOR CITY COUNCIL DISTRICT 7,,LUKE BRUMFIELD,REP
FOR CITY COUNCIL DISTRICT 7,,MIKE SHOCKLEY,DEM
FOR CITY COUNCIL DISTRICT 8,,LINDA BLOUGH,REP
FOR CITY COUNCIL DISTRICT 8,,PAT JONES,DEM
FOR CITY COUNCIL DISTRICT 9,,DALE ANDERSON,REP
FOR CITY COUNCIL DISTRICT 9,,ALLY LAYMAN,DEM
PENDLETON COUNTY EMERGENCY AMBULANCE SERVICE,,FOR THE LEVY,
PENDLETON COUNTY EMERGENCY AMBULANCE SERVICE,,AGAINST THE LEVY,
BOARD OF EDUCATION LEVY,,FOR THE LEVY,
BOARD OF EDUCATION LEVY,,AGAINST THE LEVY,
BOARD OF EDUCATION BOND ISSUE,,YES,
BOARD OF EDUCATION BOND ISSUE,,NO,
FOR MAYOR CITY OF DUNBAR,,GREG HUDSON,REP
FOR MAYOR CITY OF DUNBAR,,SCOTT E ELLIOTT,DEM
FOR MAYOR CITY OF DUNBAR,,ROGER L WOLFE,IND
FOR CITY CLERK CITY OF DUNBAR,,CONNIE J THOMPSON,REP
FOR CITY CLERK CITY OF DUNBAR,,CONNIE L FULKNIER,DEM
FOR CITY COUNCIL DUNBAR WARD 1,,STEVEN ARNOTT,REP
FOR CITY COUNCIL DUNBAR WARD 1,,MIKE SCIPIO,REP
FOR CITY COUNCIL DUNBAR WARD 1,,ANTHONY KRISE,DEM
FOR CITY COUNCIL DUNBAR WARD 2,,MICHAEL A BUCKALEW,REP
FOR CITY COUNCIL DUNBAR WARD 2,,KATHERINE S MCCORMICK,REP
FOR CITY COUNCIL DUNBAR WARD 2,,ROBERT YEAGER,DEM
FOR CITY COUNCIL DUNBAR WARD 2,,DOUG FLESHMAN,DEM
FOR CITY COUNCIL DUNBAR WARD 3,,SHARON KAY HAYNES,REP
FOR CITY COUNCIL DUNBAR WARD 3,,GREG WOLFE,DEM
FOR CITY COUNCIL DUNBAR WARD 4,,LINDA BOGGESS,REP
FOR CITY COUNCIL DUNBAR WARD 4,,JAMES HUGHES,REP
FOR CITY COUNCIL DUNBAR WARD 4,,JEREMY KEITH BOGGESS,DEM
FOR CITY COUNCIL DUNBAR WARD 4,,KYLAN WILSON,DEM
FAIRMONT DISTRICT 2,,ANNE BOLYARD,
FAIRMONT DISTRICT 2,,SHARON HARVEY MALLOW,
FAIRMONT DISTRICT 2,,SCOTT STRAIGHT,
FAIRMONT DISTRICT 2,,DAVID ALEX KNAPP,
FAIRMONT DISTRICT 4,,RICK GARCIA,
FAIRMONT DISTRICT 4,,BRAD MERRIFIELD,
FAIRMONT DISTRICT 4,,TERRY BURTON,
FAIRMONT DISTRICT 6,,GIA DEASY,
FAIRMONT DISTRICT 6,,DANIEL K DAN WEBER,
FAIRMONT DISTRICT 6,,DORA KAY GRUBB,
FAIRMONT DISTRICT 7,,BLAIR MONTGOMERY,
FAIRMONT DISTRICT 7,,PHIL MASON,
ADDITIONAL LEVY,,FOR THE LEVY,
ADDITIONAL LEVY,,AGAINST THE LEVY,
HANCOCK COUNTY LEVY,,FOR THE LEVY,
HANCOCK COUNTY LEVY,,AGAINST THE LEVY,
RENEWAL AMBULANCE LEVY,,FOR THE LEVY,
RENEWAL AMBULANCE LEVY,,AGAINST THE LEVY,
RCS BOND ELECTION,,YES,
RCS BOND ELECTION,,NO,
US SENATE,,SHELLEY MOORE CAPITO,REP
US SENATE,,PAULA JEAN SWEARENGIN,DEM
US SENATE,,DAVID MORAN,LBN
US HOUSE,1,DAVID B MCKINLEY,REP
US HOUSE,1,NATALIE CLINE,DEM
US HOUSE,2,ALEX X MOONEY,REP
US HOUSE,2,CATHY KUNKEL,DEM
US HOUSE,3,CAROL MILLER,REP
US HOUSE,3,HILARY TURNER,DEM
