candidate,office,district,party,county,precinct,total votes,election day,early voting
,Registered Voters,,R,Wayne,Precinct 48,256,,
,Registered Voters,,D,Wayne,Precinct 48,638,,
,Ballots Cast ,,R,Wayne,Precinct 48,36,36,0
,Ballots Cast ,,D,Wayne,Precinct 48,190,190,0
Bill Maloney ,Governor,,R,Wayne,Precinct 48,20,20,0
Ralph William Clark,Governor,,R,Wayne,Precinct 48,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 48,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 48,7,7,0
Clark Barnes,Governor,,R,Wayne,Precinct 48,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 48,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 48,7,7,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 48,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 48,31,,
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 48,3,,
John D. Perdue,Governor,,D,Wayne,Precinct 48,2,,
Rick Thompson,Governor,,D,Wayne,Precinct 48,143,,
Arne Moltis,Governor,,D,Wayne,Precinct 48,1,,
Natalie E. Tennant,Governor,,D,Wayne,Precinct 48,10,,
,Registered Voters,,R,Wayne,Precinct 49,251,,
,Registered Voters,,D,Wayne,Precinct 49,735,,
,Ballots Cast ,,R,Wayne,Precinct 49,39,39,0
,Ballots Cast ,,D,Wayne,Precinct 49,234,234,0
Bill Maloney ,Governor,,R,Wayne,Precinct 49,11,11,0
Ralph William Clark,Governor,,R,Wayne,Precinct 49,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 49,2,2,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 49,14,14,0
Clark Barnes,Governor,,R,Wayne,Precinct 49,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 49,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 49,11,11,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 49,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 49,37,37,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 49,1,1,0
John D. Perdue,Governor,,D,Wayne,Precinct 49,8,8,0
Rick Thompson,Governor,,D,Wayne,Precinct 49,179,179,0
Arne Moltis,Governor,,D,Wayne,Precinct 49,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 49,9,9,0
,Registered Voters,,R,Wayne,Precinct 50,138,,
,Registered Voters,,D,Wayne,Precinct 50,635,,
,Ballots Cast ,,R,Wayne,Precinct 50,23,23,0
,Ballots Cast ,,D,Wayne,Precinct 50,172,172,0
Bill Maloney ,Governor,,R,Wayne,Precinct 50,11,11,0
Ralph William Clark,Governor,,R,Wayne,Precinct 50,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 50,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 50,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 50,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 50,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 50,10,10,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 50,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 50,37,37,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 50,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 50,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 50,126,126,0
Arne Moltis,Governor,,D,Wayne,Precinct 50,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 50,6,6,0
,Registered Voters,,R,Wayne,Precinct 51,160,,
,Registered Voters,,D,Wayne,Precinct 51,993,,
,Ballots Cast ,,R,Wayne,Precinct 51,27,27,0
,Ballots Cast ,,D,Wayne,Precinct 51,235,235,0
Bill Maloney ,Governor,,R,Wayne,Precinct 51,13,13,0
Ralph William Clark,Governor,,R,Wayne,Precinct 51,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 51,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 51,3,3,0
Clark Barnes,Governor,,R,Wayne,Precinct 51,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 51,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 51,9,9,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 51,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 51,70,70,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 51,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 51,5,5,0
Rick Thompson,Governor,,D,Wayne,Precinct 51,152,152,0
Arne Moltis,Governor,,D,Wayne,Precinct 51,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 51,8,8,0
,Registered Voters,,R,Wayne,Precinct 52,82,,
,Registered Voters,,D,Wayne,Precinct 52,378,,
,Ballots Cast ,,R,Wayne,Precinct 52,7,7,0
,Ballots Cast ,,D,Wayne,Precinct 52,76,76,0
Bill Maloney ,Governor,,R,Wayne,Precinct 52,4,4,0
Ralph William Clark,Governor,,R,Wayne,Precinct 52,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 52,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 52,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 52,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 52,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 52,3,3,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 52,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 52,19,19,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 52,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 52,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 52,55,55,0
Arne Moltis,Governor,,D,Wayne,Precinct 52,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 52,0,0,0
,Registered Voters,,R,Wayne,Precinct 53,167,,
,Registered Voters,,D,Wayne,Precinct 53,581,,
,Ballots Cast ,,R,Wayne,Precinct 53,31,31,0
,Ballots Cast ,,D,Wayne,Precinct 53,133,133,0
Bill Maloney ,Governor,,R,Wayne,Precinct 53,21,21,0
Ralph William Clark,Governor,,R,Wayne,Precinct 53,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 53,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 53,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 53,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 53,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 53,4,4,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 53,2,2,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 53,26,26,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 53,1,1,0
John D. Perdue,Governor,,D,Wayne,Precinct 53,6,6,0
Rick Thompson,Governor,,D,Wayne,Precinct 53,91,91,0
Arne Moltis,Governor,,D,Wayne,Precinct 53,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 53,9,9,0
,Registered Voters,,R,Wayne,Precinct 54,114,,
,Registered Voters,,D,Wayne,Precinct 54,557,,
,Ballots Cast ,,R,Wayne,Precinct 54,24,24,0
,Ballots Cast ,,D,Wayne,Precinct 54,165,165,0
Bill Maloney ,Governor,,R,Wayne,Precinct 54,12,12,0
Ralph William Clark,Governor,,R,Wayne,Precinct 54,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 54,1,1,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 54,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 54,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 54,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 54,10,10,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 54,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 54,32,32,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 54,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 54,0,0,0
Rick Thompson,Governor,,D,Wayne,Precinct 54,125,125,0
Arne Moltis,Governor,,D,Wayne,Precinct 54,1,1,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 54,7,7,0
,Registered Voters,,R,Wayne,Precinct 56,412,,
,Registered Voters,,D,Wayne,Precinct 56,653,,
,Ballots Cast ,,R,Wayne,Precinct 56,44,44,0
,Ballots Cast ,,D,Wayne,Precinct 56,113,113,0
Bill Maloney ,Governor,,R,Wayne,Precinct 56,25,25,0
Ralph William Clark,Governor,,R,Wayne,Precinct 56,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 56,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 56,4,4,0
Clark Barnes,Governor,,R,Wayne,Precinct 56,3,3,0
Cliff Ellis,Governor,,R,Wayne,Precinct 56,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 56,11,11,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 56,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 56,29,29,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 56,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 56,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 56,65,65,0
Arne Moltis,Governor,,D,Wayne,Precinct 56,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 56,15,15,0
,Registered Voters,,R,Wayne,Precinct 57,201,,
,Registered Voters,,D,Wayne,Precinct 57,368,,
,Ballots Cast ,,R,Wayne,Precinct 57,28,28,0
,Ballots Cast ,,D,Wayne,Precinct 57,83,83,0
Bill Maloney ,Governor,,R,Wayne,Precinct 57,16,16,0
Ralph William Clark,Governor,,R,Wayne,Precinct 57,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 57,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 57,3,3,0
Clark Barnes,Governor,,R,Wayne,Precinct 57,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 57,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 57,6,6,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 57,2,2,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 57,19,19,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 57,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 57,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 57,56,56,0
Arne Moltis,Governor,,D,Wayne,Precinct 57,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 57,5,5,0
,Registered Voters,,R,Wayne,Precinct 59,249,,
,Registered Voters,,D,Wayne,Precinct 59,470,,
,Ballots Cast ,,R,Wayne,Precinct 59,36,36,0
,Ballots Cast ,,D,Wayne,Precinct 59,102,102,0
Bill Maloney ,Governor,,R,Wayne,Precinct 59,16,16,0
Ralph William Clark,Governor,,R,Wayne,Precinct 59,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 59,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 59,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 59,2,2,0
Cliff Ellis,Governor,,R,Wayne,Precinct 59,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 59,14,14,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 59,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 59,25,25,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 59,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 59,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 59,62,62,0
Arne Moltis,Governor,,D,Wayne,Precinct 59,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 59,13,13,0
,Registered Voters,,R,Wayne,Precinct 60,254,,
,Registered Voters,,D,Wayne,Precinct 60,439,,
,Ballots Cast ,,R,Wayne,Precinct 60,35,35,0
,Ballots Cast ,,D,Wayne,Precinct 60,94,94,0
Bill Maloney ,Governor,,R,Wayne,Precinct 60,19,19,0
Ralph William Clark,Governor,,R,Wayne,Precinct 60,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 60,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 60,3,3,0
Clark Barnes,Governor,,R,Wayne,Precinct 60,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 60,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 60,12,12,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 60,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 60,25,25,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 60,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 60,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 60,53,53,0
Arne Moltis,Governor,,D,Wayne,Precinct 60,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 60,14,14,0
,Registered Voters,,R,Wayne,Precinct 61,169,,
,Registered Voters,,D,Wayne,Precinct 61,376,,
,Ballots Cast ,,R,Wayne,Precinct 61,27,27,0
,Ballots Cast ,,D,Wayne,Precinct 61,108,108,0
Bill Maloney ,Governor,,R,Wayne,Precinct 61,12,12,0
Ralph William Clark,Governor,,R,Wayne,Precinct 61,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 61,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 61,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 61,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 61,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 61,10,10,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 61,2,2,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 61,23,23,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 61,2,2,0
John D. Perdue,Governor,,D,Wayne,Precinct 61,4,4,0
Rick Thompson,Governor,,D,Wayne,Precinct 61,67,67,0
Arne Moltis,Governor,,D,Wayne,Precinct 61,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 61,11,11,0
,Registered Voters,,R,Wayne,Precinct 62,361,,
,Registered Voters,,D,Wayne,Precinct 62,632,,
,Ballots Cast ,,R,Wayne,Precinct 62,49,49,0
,Ballots Cast ,,D,Wayne,Precinct 62,138,138,0
Bill Maloney ,Governor,,R,Wayne,Precinct 62,32,32,0
Ralph William Clark,Governor,,R,Wayne,Precinct 62,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 62,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 62,8,8,0
Clark Barnes,Governor,,R,Wayne,Precinct 62,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 62,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 62,7,7,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 62,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 62,29,29,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 62,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 62,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 62,92,92,0
Arne Moltis,Governor,,D,Wayne,Precinct 62,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 62,12,12,0
,Registered Voters,,R,Wayne,Precinct 63,168,,
,Registered Voters,,D,Wayne,Precinct 63,317,,
,Ballots Cast ,,R,Wayne,Precinct 63,26,26,0
,Ballots Cast ,,D,Wayne,Precinct 63,64,64,0
Bill Maloney ,Governor,,R,Wayne,Precinct 63,15,15,0
Ralph William Clark,Governor,,R,Wayne,Precinct 63,1,1,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 63,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 63,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 63,1,1,0
Cliff Ellis,Governor,,R,Wayne,Precinct 63,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 63,7,7,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 63,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 63,20,20,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 63,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 63,1,1,0
Rick Thompson,Governor,,D,Wayne,Precinct 63,36,36,0
Arne Moltis,Governor,,D,Wayne,Precinct 63,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 63,7,7,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
